key,english
buffArmBrokenDesc,"Your arm is broken, slowing your weapon handling, reload speed and swing speeds. A splint, cast or trauma kit will speed up healing.\nRanged or power attacks will delay healing or even hurt you.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
buffArmBrokenTooltip,"Your arm is broken. A splint, cast or trauma kit will speed up healing."
buffDysentery01GetBetterDesc,"You got the shits real bad. Your symptoms are reduced by medicine.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost."
buffDysentery01UntreatedDesc,"You got the shits real bad. Goldenrod tea may help.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost."
buffDysentery01UntreatedTooltip,"You got the shits real bad. Goldenrod tea may help."
buffLegBrokenDesc,"Your broken leg is slowing you down. A splint, cast or trauma kit will speed up healing.\nJumping or sprinting will delay healing or even hurt you.\n\nYour max health is lowered by {cvar(.LegHurtHealthBlockage:0.0)}."
buffLegBrokenTooltip,"Your leg is broken. A splint, cast or trauma kit would speed up healing."
buffPerkCharismaticNatureDesc,"You are using your instincts of survival!"
armorMilitaryGroupDesc,"Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts."
armorMilitaryStealthBootsDesc,"These military stealth boots have no stamina use penalty and muffle noise from movement.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts."
armorSteelGroupDesc,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Steel Armor Repair Kit.\nScrap to steel armor parts."
drinkYuccaJuiceSmoothieDesc,"This smoothie helps you survive in severely hot environments."
foodCanChickenDesc,"Tastes like chicken. Well, really old synthetic chicken with dirt on it.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanChiliDesc,"Stash Chili goes down smooth but watch out for the fiery finish Paco.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanMisoDesc,"It's time to soup it up with some Miso soup mmm mmm good.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPastaDesc,"Now that's Italian! Che figata!\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPearsDesc,"Maintain that perfect pear shape by eating canned pears.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPeasDesc,"You and your can of peas will be like two peas in a pod and you'll get your daily vegetables.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSalmonDesc,"Enjoy this healthy can of salmon.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanShamDesc,"A can of high quality Shamway ham the number 1 maker of meat-like products. The lunch of champions.\nCrafted in lots of 5.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSoupDesc,"Chicken soup can keep the body and the soul together.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanStockDesc,"Stock up on stock or you could eat it now.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanTunaDesc,"A can of tuna or better known as the chicken of the wasteland.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanBeefcooked,Cooked Beef Ration
foodCanBeefcookedDesc,"It's not from your favorite steakhouse but this can of cooked beef will fill you up, and not be as likely to give you the shits..."
foodCanChickencooked,Cooked Chicken Ration
foodCanChickencookedDesc,"Cooked chicken, straight from the can. Still tastes like crap."
foodCanChilicooked,Cooked Chili
foodCanChilicookedDesc,"Cooked Chili. Fiery finish, but less chance of a nasty finish..."
foodCanLambcooked,Cooked Lamb Rations
foodCanLambcookedDesc,"Cooked lamb rations. Taste like lamb, texture like shoe leather."
foodCanMisocooked,Cooked Miso soup
foodCanMisocookedDesc,"Hot miso soup. Not bad at all."
